epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0005,0,,,,,,,
0,,9,,0.012288831174373627,,,,,
0,,19,,0.013186636380851269,,,,,
0,,21,,,0.008409851230680943,2.197701930999756,0.011272622272372246,1.823287844657898,0.008409851230680943
0,,21,0.014127854257822037,,,,,,
,0.0005,22,,,,,,,
1,,29,,0.013495614752173424,,,,,
1,,39,,0.014258156530559063,,,,,
1,,43,,,0.008409848436713219,1.5762931108474731,0.011272619478404522,1.8001912832260132,0.008409848436713219
1,,43,0.014137674123048782,,,,,,
,0.0005,44,,,,,,,
2,,49,,0.013478944078087807,,,,,
2,,59,,0.0133881326764822,,,,,
2,,65,,,0.008409848436713219,1.4842402935028076,0.011272618547081947,1.7964730262756348,0.008409848436713219
2,,65,0.01412610337138176,,,,,,
,0.0005,66,,,,,,,
3,,69,,0.014348317869007587,,,,,
3,,79,,0.013521039858460426,,,,,
3,,87,,,0.008409847505390644,1.4431818723678589,0.011272616684436798,1.7950787544250488,0.008409847505390644
3,,87,0.014109622687101364,,,,,,
,0.0005,88,,,,,,,
4,,89,,0.013781880028545856,,,,,
4,,99,,0.01484611351042986,,,,,
4,,109,,0.01490097027271986,,,,,
4,,109,,,0.008409847505390644,1.404897928237915,0.011272616684436798,1.793747067451477,0.008409847505390644
4,,109,0.014164886437356472,,,,,,
,0.0005,110,,,,,,,
5,,119,,0.015177572146058083,,,,,
5,,129,,0.013823920860886574,,,,,
5,,131,,,0.008409847505390644,1.3749693632125854,0.011272616684436798,1.7926859855651855,0.008409847505390644
5,,131,0.014155319891870022,,,,,,
,0.00025,132,,,,,,,
6,,139,,0.012566330842673779,,,,,
6,,149,,0.015746328979730606,,,,,
6,,153,,,0.008409847505390644,1.359105110168457,0.011272616684436798,1.7921899557113647,0.008409847505390644
6,,153,0.014148655347526073,,,,,,
,0.00025,154,,,,,,,
7,,159,,0.014843491837382317,,,,,
7,,169,,0.01377173699438572,,,,,
7,,175,,,0.00840984657406807,1.3490149974822998,0.011272616684436798,1.7916985750198364,0.00840984657406807
7,,175,0.014145552180707455,,,,,,
,0.00025,176,,,,,,,
8,,179,,0.014064082875847816,,,,,
8,,189,,0.014570283703505993,,,,,
8,,197,,,0.008409847505390644,1.3372819423675537,0.011272616684436798,1.7911381721496582,0.008409847505390644
8,,197,0.014081555418670177,,,,,,
,0.00025,198,,,,,,,
9,,199,,0.013928729109466076,,,,,
9,,209,,0.01313453633338213,,,,,
9,,219,,0.015502502210438251,,,,,
9,,219,,,0.00840984657406807,1.3244010210037231,0.011272616684436798,1.7905200719833374,0.00840984657406807
9,,219,0.014090853743255138,,,,,,
,0.00025,220,,,,,,,
10,,229,,0.013646459206938744,,,,,
10,,239,,0.015132786706089973,,,,,
10,,241,,,0.00840984657406807,1.311362624168396,0.011272616684436798,1.7898964881896973,0.00840984657406807
10,,241,0.014135628938674927,,,,,,
,0.00025,242,,,,,,,
11,,249,,0.013423321768641472,,,,,
11,,259,,0.01411462388932705,,,,,
11,,263,,,0.00840984657406807,1.3001923561096191,0.011272616684436798,1.789317011833191,0.00840984657406807
11,,263,0.014150687493383884,,,,,,
,0.00025,264,,,,,,,
12,,269,,0.014427808113396168,,,,,
12,,279,,0.014601591043174267,,,,,
12,,285,,,0.00840984657406807,1.283656358718872,0.011272616684436798,1.7885339260101318,0.00840984657406807
12,,285,0.014160498045384884,,,,,,
