Skenario,Learning Rate,Hidden Size,Batch Size,vallos
S24,0.0007,96,128,48.346195220947266
S14,0.0005,96,64,48.546756744384766
S5,0.0002,96,64,48.60789108276367
S1,0.0002,64,32,49.8732795715332
S4,0.0002,96,32,49.93103790283203
S6,0.0002,96,128,50.54252243041992
S17,0.0005,128,64,50.54850769042969
S27,0.0007,128,128,50.92751693725586
S23,0.0007,96,64,50.932861328125
S13,0.0005,96,32,51.163291931152344
S15,0.0005,96,128,51.42215347290039
S25,0.0007,128,32,51.5452995300293
S2,0.0002,64,64,51.65140914916992
S16,0.0005,128,32,51.77206802368164
S18,0.0005,128,128,51.78129959106445
S10,0.0005,64,32,51.966007232666016
S26,0.0007,128,64,52.0817985534668
S20,0.0007,64,64,52.76469421386719
S9,0.0002,128,128,55.84782409667969
S7,0.0002,128,32,56.251590728759766
S22,0.0007,96,32,56.75568771362305
S21,0.0007,64,128,60.42585754394531
S3,0.0002,64,128,65.70404815673828
S8,0.0002,128,64,105.78363037109375
S12,0.0005,64,128,179.6328125
S19,0.0007,64,32,259.43231201171875
S11,0.0005,64,64,305.0185852050781
