Skenario,Learning Rate,Hidden Size,Batch Size,vallos
S8,0.0002,128,64,48.19761657714844
S17,0.0005,128,64,48.3248176574707
S20,0.0007,64,64,48.353660583496094
S19,0.0007,64,32,48.361419677734375
S9,0.0002,128,128,48.596134185791016
S1,0.0002,64,32,48.98741912841797
S24,0.0007,96,128,49.36709976196289
S10,0.0005,64,32,49.968624114990234
S7,0.0002,128,32,50.305641174316406
S16,0.0005,128,32,50.72665023803711
S14,0.0005,96,64,51.02391052246094
S13,0.0005,96,32,51.06253433227539
S18,0.0005,128,128,51.197410583496094
S23,0.0007,96,64,51.36079406738281
S6,0.0002,96,128,51.372684478759766
S4,0.0002,96,32,51.59025573730469
S25,0.0007,128,32,51.98502731323242
S15,0.0005,96,128,52.3536262512207
S2,0.0002,64,64,52.42692565917969
S12,0.0005,64,128,53.25584030151367
S22,0.0007,96,32,56.8277473449707
S11,0.0005,64,64,101.67400360107422
S5,0.0002,96,64,133.7422332763672
S21,0.0007,64,128,146.88511657714844
S3,0.0002,64,128,175.8030242919922
