Skenario,Learning Rate,Hidden Size,Batch Size,vallos
S5,0.0002,96,64,48.80720520019531
S9,0.0002,128,128,49.03053283691406
S8,0.0002,128,64,49.89444351196289
S1,0.0002,64,32,50.0974006652832
S4,0.0002,96,32,50.174072265625
S20,0.0007,64,64,50.28034973144531
S12,0.0005,64,128,50.541053771972656
S25,0.0007,128,32,50.5435676574707
S7,0.0002,128,32,50.589500427246094
S18,0.0005,128,128,50.72504806518555
S15,0.0005,96,128,51.07996368408203
S17,0.0005,128,64,51.09081268310547
S3,0.0002,64,128,51.78628921508789
S2,0.0002,64,64,52.19837188720703
S23,0.0007,96,64,53.32465362548828
S14,0.0005,96,64,53.55303955078125
S13,0.0005,96,32,54.28706359863281
S10,0.0005,64,32,55.61833572387695
S26,0.0007,128,64,58.65375518798828
S24,0.0007,96,128,60.00576400756836
S11,0.0005,64,64,60.89592742919922
S6,0.0002,96,128,66.3726806640625
S19,0.0007,64,32,67.43763732910156
S21,0.0007,64,128,76.16814422607422
S16,0.0005,128,32,100.99787139892578
S27,0.0007,128,128,185.81138610839844
S22,0.0007,96,32,245.2183380126953
