Skenario,Learning Rate,Hidden Size,Batch Size,vallos
S1,0.0002,64,32,47.83452224731445
S22,0.0007,96,32,48.16372299194336
S4,0.0002,96,32,48.69470977783203
S27,0.0007,128,128,48.727874755859375
S9,0.0002,128,128,48.89202117919922
S18,0.0005,128,128,49.04646301269531
S7,0.0002,128,32,49.40214157104492
S15,0.0005,96,128,49.572593688964844
S20,0.0007,64,64,49.701171875
S14,0.0005,96,64,49.911277770996094
S11,0.0005,64,64,49.97096633911133
S5,0.0002,96,64,50.10777282714844
S13,0.0005,96,32,50.83089828491211
S25,0.0007,128,32,51.68852615356445
S2,0.0002,64,64,51.921138763427734
S3,0.0002,64,128,53.904815673828125
S17,0.0005,128,64,54.142616271972656
S24,0.0007,96,128,54.566280364990234
S23,0.0007,96,64,55.020263671875
S8,0.0002,128,64,57.2026481628418
S21,0.0007,64,128,58.423744201660156
S19,0.0007,64,32,60.701995849609375
S6,0.0002,96,128,61.38729476928711
S16,0.0005,128,32,65.91070556640625
S10,0.0005,64,32,107.46272277832031
S12,0.0005,64,128,167.4925537109375
S26,0.0007,128,64,199.228759765625
