feature,F_score,F_pvalue,MI
log_return_1d,3.6609620694905645,0.05572324384321497,1.1866140039058957
return_mean_5d,13.949931888233856,0.00018854091762209577,0.5592517948019378
vol_20,1230.1963249835494,1.139345899399689e-257,0.4366424423867672
bb_width_20,908.1487678078678,5.927966740977128e-193,0.24409357767400586
volume,999.8584894215423,1.5534493988574088e-211,0.21497082161469994
sentiment_vol_7d,78.86528597479035,7.506526902620068e-19,0.18709391746051462
return_std_5d,567.8476127393506,6.69233850924292e-123,0.14508567265112404
ma_5_div_ma_20,33.996828515586046,5.650385018870623e-09,0.12518074458618855
sentiment_trend_5d,0.867165270252988,0.35175844732037587,0.10178403778838119
news_count_3d,23.746116121267846,1.112043878824131e-06,0.08393876398322053
rsi_14,15.871395118071117,6.81627067331179e-05,0.08302761231288791
sentiment_mean_3d,15.91492372336244,6.661476438623102e-05,0.06009147431097439
sentiment_shock,1.0219069517586237,0.3120857808870365,0.05494509341584486
volume_ma_ratio_20,0.6792818366119281,0.40984914303709785,0.03239728988910784
has_news,2.4039912616551073,0.12105028355645471,0.030974891735193744
news_count,11.635811871465531,0.0006488954766196234,0.026292851625577818
sentiment_mean,2.8548474768078913,0.09112268529452357,0.01825791246606956
sentiment_final_mean,2.8548474768078913,0.09112268529452357,0.01822210520442269
sentiment_conf_max,5.1747694691354935,0.022933308766972305,0.014755742082384282
extreme_news,23.932831101863897,1.0094220763508888e-06,0.013316490848594986
neu_count,57.8805672340606,2.9751733120386974e-14,0.012847674642558982
sentiment_conf_mean,27.46433057917927,1.625044017365649e-07,0.011328501165324134
sentiment_market_mean,0.005776737287610133,0.9394164004467401,0.010367261083652268
neg_count,3.5891069239697515,0.05818150341306362,0.0076628368674556135
pos_count,2.9785323392304885,0.0843993425902376,0.005499121249472827
sentiment_lex_mean,0.7455456480463121,0.3879059950564435,0.00370541520189116
strong_lex_count,0.09326169277721028,0.7600756862460702,0.0022949716399736086
sentiment_text_mean,9.452023473210682,0.0021135033312882382,0.0002705080954874539
strong_market_count,29.24618972449177,6.486071116969805e-08,0.0
